ID_Mahasiswa (NIM/Nama),Gender,IPS_Sem1,IPS_Sem2,IPS_Sem3,IPS_Sem4,Total_SKS_Ambil,Total_SKS_Lulus,Nilai_Matkul_Killer,Jml_Mengulang,Status_Beasiswa,Bekerja
20220456352 - Wahyu Kurniawan,Laki-laki,3.14,2.97,2.79,3.26,85,85,78,0,Tidak,Tidak
20230456979 - Dewi Azizah,Perempuan,2.67,2.27,2.65,2.86,81,73,62,2,Tidak,Tidak
20230454638 - Ilham Yusuf,Laki-laki,2.26,2.23,2.28,2.08,81,69,51,3,Tidak,Tidak
20230456210 - Maya Santoso,Perempuan,2.86,2.98,2.94,2.96,82,82,68,0,Tidak,Tidak
20230452483 - Bagas Akbar,Laki-laki,3.22,3.25,3.29,3.19,91,91,85,0,Tidak,Tidak
20230457744 - Rani Salsabila,Perempuan,3.04,3.31,3.27,3.02,83,80,76,1,Tidak,Tidak
20220455549 - Wulan Kurniawan,Perempuan,2.95,3.13,3.18,3.32,89,89,79,0,Tidak,Tidak
20230455888 - Dewi Akbar,Perempuan,3.29,3.27,3.14,2.98,86,86,82,0,Tidak,Tidak
20230452136 - Citra Hidayat,Perempuan,3.04,3.62,3.60,3.28,89,89,74,0,Tidak,Tidak
20230458284 - Nadia Saputra,Perempuan,3.15,2.80,2.92,2.57,79,76,61,1,Tidak,Tidak
20220455961 - Fauzan Hidayat,Laki-laki,3.24,3.12,2.99,3.39,91,88,72,1,Tidak,Tidak
20220456750 - Salma Sari,Perempuan,2.55,3.01,2.73,2.66,75,75,74,0,Tidak,Tidak
20220451601 - Salma Syahputra,Perempuan,3.73,3.44,3.88,3.61,89,89,85,0,Tidak,Tidak
20230458351 - Fitri Firmansyah,Perempuan,2.13,2.50,2.54,2.36,75,67,47,4,Ya,Tidak
20220451907 - Wahyu Kurniawan,Laki-laki,2.83,2.99,3.20,3.30,90,87,78,1,Tidak,Tidak
20230457903 - Maya Anggraini,Perempuan,3.03,2.98,3.24,3.26,87,87,83,0,Tidak,Tidak
20220459026 - Zahra Laksana,Perempuan,3.11,3.40,3.20,3.26,87,87,79,0,Tidak,Tidak
20220456994 - Rahma Syahputra,Perempuan,2.75,2.93,3.08,2.86,83,79,68,2,Tidak,Ya
20230457783 - Lestari Santoso,Perempuan,2.94,2.88,3.24,3.34,83,80,72,1,Tidak,Tidak
20230456549 - Rangga Pratama,Laki-laki,3.78,3.50,3.82,4.00,94,94,95,0,Ya,Tidak
20220455844 - Fajar Salsabila,Laki-laki,3.11,3.01,3.10,3.16,82,82,70,0,Tidak,Ya
20220456741 - Dimas Fadillah,Laki-laki,2.57,2.33,2.45,2.00,70,64,43,3,Tidak,Tidak
20230458579 - Riska Utami,Perempuan,3.28,3.30,3.43,3.31,88,88,90,0,Tidak,Tidak
20230453415 - Dinda Cahya,Perempuan,3.19,3.23,3.02,3.26,84,81,79,1,Tidak,Ya
20220452341 - Ahmad Anggraini,Laki-laki,3.09,3.19,3.34,3.03,86,86,87,0,Ya,Ya
20230451439 - Rizky Utami,Laki-laki,3.18,3.04,3.46,3.17,88,88,80,0,Tidak,Tidak
20220451716 - Anisa Syahputra,Perempuan,3.45,3.66,3.53,3.49,91,91,82,0,Tidak,Ya
20230457179 - Vina Febrianti,Perempuan,2.58,2.53,2.58,2.97,78,74,63,1,Tidak,Ya
20220458756 - Fauzan Pratama,Laki-laki,3.55,3.60,3.19,3.28,89,89,79,0,Tidak,Ya
20230452809 - Indah Ramadhan,Perempuan,3.25,3.00,3.27,3.21,91,91,84,0,Tidak,Tidak
20230457050 - Wulan Azizah,Perempuan,2.34,2.35,2.47,3.01,74,74,67,0,Tidak,Tidak
20230455586 - Nabila Ananda,Perempuan,2.70,2.71,2.45,2.74,75,75,71,0,Tidak,Tidak
20230452522 - Alif Ramadhan,Laki-laki,2.88,2.48,2.90,3.00,76,76,74,0,Tidak,Tidak
20230458988 - Gilang Permata,Laki-laki,3.09,3.21,3.37,3.42,87,83,73,1,Tidak,Tidak
20220457724 - Arif Yusuf,Laki-laki,2.66,2.86,2.95,2.97,83,81,70,1,Tidak,Tidak
20220458698 - Tiara Nugroho,Perempuan,2.84,3.28,3.40,3.60,83,83,92,0,Tidak,Tidak
20230458118 - Yuni Febrianti,Perempuan,3.43,3.36,3.30,3.07,89,86,75,1,Tidak,Tidak
20220456475 - Dimas Akbar,Laki-laki,3.59,3.57,3.53,3.69,93,93,94,0,Ya,Ya
20230451692 - Fauzan Anggraini,Laki-laki,2.55,2.60,2.73,2.58,84,76,53,2,Tidak,Tidak
20230452836 - Melati Permata,Perempuan,3.05,2.94,2.90,3.14,84,84,73,0,Tidak,Tidak
20230452315 - Siti Azizah,Perempuan,2.26,2.73,2.57,2.73,88,84,65,1,Tidak,Tidak
20220456026 - Tiara Febrianti,Perempuan,3.66,3.62,3.59,3.75,92,92,82,0,Tidak,Tidak
20230451968 - Bagas Aprilia,Laki-laki,2.51,2.14,2.32,2.34,72,64,60,2,Tidak,Tidak
20220455216 - Rangga Saputra,Laki-laki,2.37,2.15,2.23,2.10,81,72,47,3,Tidak,Ya
20220459388 - Hafiz Nugroho,Laki-laki,2.41,2.64,2.21,2.81,84,84,67,0,Tidak,Ya
20230451582 - Wahyu Azizah,Laki-laki,2.95,2.74,3.06,2.76,87,81,63,3,Tidak,Tidak
20230452880 - Indah Wijaya,Perempuan,2.97,3.14,3.71,3.67,83,83,85,0,Tidak,Tidak
20230454127 - Maya Syahputra,Perempuan,2.79,3.06,3.29,2.75,80,80,79,0,Tidak,Tidak
20230457090 - Wulan Febrianti,Perempuan,2.84,2.88,2.80,3.17,83,83,82,0,Tidak,Tidak
20220453495 - Kevin Maulana,Laki-laki,3.52,3.31,3.38,3.03,86,86,78,0,Tidak,Tidak
20230459642 - Maya Permata,Perempuan,3.33,3.62,3.78,3.97,92,92,87,0,Tidak,Ya
20220451246 - Rizky Akbar,Laki-laki,3.91,3.78,3.94,4.00,94,94,88,0,Tidak,Tidak
20220451912 - Yoga Salsabila,Laki-laki,2.55,3.19,2.93,3.30,75,75,82,0,Tidak,Tidak
20230457938 - Yoga Aprilia,Laki-laki,4.00,4.00,3.98,4.00,92,92,96,0,Tidak,Tidak
20220454726 - Siti Syahputra,Perempuan,3.55,3.20,3.55,3.25,90,87,79,1,Tidak,Tidak
20230455516 - Reza Cahya,Laki-laki,3.60,3.63,3.80,3.89,95,95,86,0,Tidak,Tidak
20230453876 - Aldi Sari,Laki-laki,2.70,2.79,2.72,3.35,80,80,69,0,Tidak,Ya
20230455301 - Alif Febrianti,Laki-laki,2.29,2.19,2.42,2.50,71,63,57,2,Tidak,Tidak
20230457237 - Bayu Ananda,Laki-laki,2.40,2.76,2.78,2.87,76,68,66,2,Tidak,Ya
20230454732 - Iqbal Ananda,Laki-laki,3.22,3.37,3.82,4.00,89,89,90,0,Tidak,Tidak
20230459440 - Naufal Yusuf,Laki-laki,2.96,2.91,2.59,2.24,82,82,72,0,Tidak,Ya
20220458607 - Vina Santoso,Perempuan,3.20,3.23,3.06,3.30,92,84,77,2,Tidak,Tidak
20230451263 - Dimas Laksana,Laki-laki,2.90,2.73,2.81,3.02,74,74,82,0,Tidak,Tidak
20230451155 - Rangga Nugroho,Laki-laki,2.22,2.38,2.60,2.58,79,75,49,2,Tidak,Tidak
20220453986 - Anisa Pratama,Perempuan,2.86,2.86,3.60,3.33,87,87,78,0,Tidak,Tidak
20230454964 - Tasya Maharani,Perempuan,2.67,2.43,2.56,2.78,75,72,59,1,Tidak,Ya
20220454831 - Fira Rahman,Perempuan,3.21,3.18,3.13,3.34,87,87,84,0,Tidak,Tidak
20220452480 - Joko Rahman,Laki-laki,3.00,2.97,2.92,2.86,86,83,77,1,Tidak,Tidak
20230458884 - Nabila Syahputra,Perempuan,3.35,3.24,3.48,3.43,90,90,92,0,Tidak,Tidak
20230456808 - Indah Wijaya,Perempuan,2.91,3.15,3.54,3.19,85,82,74,1,Tidak,Tidak
20220457123 - Intan Setiawan,Perempuan,3.48,3.62,4.00,4.00,92,92,88,0,Ya,Ya
20220454103 - Yuni Setiawan,Perempuan,2.38,2.65,2.34,2.90,83,83,68,0,Tidak,Ya
20230452608 - Anisa Kurniawan,Perempuan,3.02,3.38,2.95,3.12,84,84,88,0,Tidak,Tidak
20230452475 - Iqbal Putra,Laki-laki,2.90,3.06,3.33,3.00,92,89,63,1,Tidak,Ya
20220457727 - Indah Utami,Perempuan,2.82,2.77,2.57,2.92,84,84,77,0,Tidak,Tidak
20220451808 - Zahra Santoso,Perempuan,2.75,2.95,2.80,2.71,81,81,80,0,Tidak,Tidak
20220457092 - Maya Cahya,Perempuan,2.66,2.41,2.89,3.25,81,81,77,0,Tidak,Tidak
20230453550 - Nurul Pratama,Perempuan,2.76,3.07,3.33,3.46,90,87,70,1,Tidak,Ya
20220452323 - Bayu Syahputra,Laki-laki,3.26,2.43,2.27,2.47,86,80,50,2,Tidak,Tidak
20230454905 - Hafiz Kurniawan,Laki-laki,3.70,3.79,3.92,4.00,88,88,94,0,Ya,Tidak
20220452285 - Rahma Syahputra,Perempuan,2.74,2.44,3.07,2.78,81,81,63,0,Tidak,Tidak
20220452578 - Rangga Santoso,Laki-laki,3.62,3.23,3.67,3.81,91,91,97,0,Ya,Tidak
20220451613 - Dewi Salsabila,Perempuan,2.98,2.96,2.97,3.00,82,82,72,0,Tidak,Tidak
20230455746 - Gilang Kurniawan,Laki-laki,3.23,3.55,3.28,2.95,91,91,76,0,Tidak,Tidak
20230453260 - Anisa Sari,Perempuan,3.04,3.24,3.06,3.33,91,85,62,2,Tidak,Tidak
20220451269 - Alif Febrianti,Laki-laki,2.38,2.43,2.91,2.77,86,77,48,3,Tidak,Ya
20220456211 - Nurul Santoso,Perempuan,2.62,2.58,2.55,2.40,81,81,71,0,Tidak,Tidak
20230452492 - Ilham Permata,Laki-laki,2.59,2.64,2.76,2.97,77,75,78,1,Tidak,Tidak
20220459575 - Putri Hidayat,Perempuan,2.47,2.70,2.66,2.57,81,75,60,2,Tidak,Ya
20220456383 - Hafiz Fadillah,Laki-laki,3.30,3.23,3.37,3.49,84,81,69,1,Tidak,Tidak
20220452861 - Rian Wijaya,Laki-laki,3.45,3.61,3.25,3.44,94,90,70,1,Tidak,Tidak
20230453745 - Rafi Nugroho,Laki-laki,3.49,3.45,2.97,3.37,84,84,88,0,Tidak,Tidak
20220452557 - Anisa Syahputra,Perempuan,3.59,3.21,3.05,3.22,82,82,86,0,Ya,Tidak
20230459038 - Lestari Anggraini,Perempuan,3.29,3.18,3.28,3.54,92,89,74,1,Tidak,Tidak
20230452045 - Siti Kurniawan,Perempuan,3.21,3.03,3.11,3.08,91,91,82,0,Tidak,Tidak
20220452554 - Dimas Cahya,Laki-laki,3.47,2.95,2.80,2.81,82,82,75,0,Tidak,Ya
20220458964 - Riska Wijaya,Perempuan,2.53,2.98,2.93,3.44,85,82,61,1,Tidak,Ya
20230453728 - Vina Permata,Perempuan,2.65,2.67,3.16,2.80,85,82,73,1,Tidak,Tidak
20230452690 - Nisa Akbar,Perempuan,2.59,3.07,2.79,3.23,78,74,65,1,Tidak,Tidak
20220452766 - Rizky Putra,Laki-laki,2.33,2.49,2.40,2.06,76,61,36,5,Ya,Ya
20220452173 - Rian Santoso,Laki-laki,2.83,2.50,2.75,2.97,87,79,60,2,Tidak,Tidak
20230452416 - Wulan Yusuf,Perempuan,3.18,3.21,3.43,3.26,87,87,84,0,Tidak,Tidak
20220454623 - Lestari Putra,Perempuan,3.40,3.90,3.56,3.89,89,89,97,0,Ya,Tidak
20230454809 - Reza Febrianti,Laki-laki,2.66,2.61,2.95,2.84,80,80,78,0,Tidak,Tidak
20230457983 - Fajar Putra,Laki-laki,2.55,2.23,2.49,2.25,73,53,32,5,Tidak,Ya
20230454221 - Riska Anggraini,Perempuan,2.81,2.98,3.21,3.06,84,84,85,0,Tidak,Tidak
20220451201 - Siti Permata,Perempuan,2.57,2.27,2.77,2.32,75,69,61,2,Tidak,Ya
20230458552 - Nurul Maharani,Perempuan,2.95,2.87,2.51,2.68,83,81,71,1,Tidak,Tidak
20220451525 - Bayu Hidayat,Laki-laki,3.14,3.20,3.48,3.08,92,92,72,0,Tidak,Ya
20220454508 - Rafi Nugroho,Laki-laki,3.86,3.90,4.00,4.00,90,90,85,0,Tidak,Tidak
20220456272 - Ayu Wijaya,Perempuan,2.94,2.92,2.70,2.81,81,69,55,3,Tidak,Tidak
20230458668 - Lestari Santoso,Perempuan,3.65,3.43,3.34,3.32,91,91,90,0,Tidak,Tidak
20220455764 - Fauzan Nugroho,Laki-laki,3.73,3.77,3.52,3.83,95,95,98,0,Ya,Tidak
20220455446 - Yoga Febrianti,Laki-laki,3.06,2.95,3.29,3.12,90,90,87,0,Tidak,Tidak
20220451857 - Anisa Saputra,Perempuan,3.26,3.58,3.40,3.82,95,95,83,0,Ya,Tidak
20230457247 - Yoga Akbar,Laki-laki,2.66,2.65,2.97,3.16,88,88,64,0,Tidak,Ya
20230456284 - Alif Yusuf,Laki-laki,3.30,2.85,3.20,3.36,90,90,84,0,Tidak,Tidak
20230452551 - Kevin Febrianti,Laki-laki,2.06,2.61,2.91,3.13,78,78,71,0,Tidak,Ya
20230453778 - Hafiz Syahputra,Laki-laki,3.09,3.38,3.15,2.87,88,88,73,0,Tidak,Tidak
20220452158 - Dinda Rahman,Perempuan,3.62,3.60,3.65,3.33,93,93,83,0,Ya,Tidak
20220456216 - Vina Maulana,Perempuan,3.35,3.50,3.36,3.07,83,80,87,1,Tidak,Tidak
20230453203 - Rani Maulana,Perempuan,3.10,3.31,2.78,2.89,84,80,66,1,Tidak,Tidak
20220451241 - Reza Yusuf,Laki-laki,2.99,2.96,2.62,3.18,80,80,82,0,Tidak,Tidak
20230458141 - Vina Anggraini,Perempuan,2.57,2.34,2.01,2.43,74,64,46,5,Tidak,Ya
20220451981 - Fajar Saputra,Laki-laki,3.04,3.53,3.53,4.00,88,88,89,0,Ya,Tidak
20230458085 - Fitri Yusuf,Perempuan,3.01,3.12,2.98,2.94,83,80,62,1,Tidak,Tidak
20220456470 - Nurul Saputra,Perempuan,2.33,2.69,2.94,3.19,83,74,60,3,Tidak,Ya
20220455036 - Putri Fadillah,Perempuan,2.73,2.87,2.94,2.66,88,88,68,0,Tidak,Ya
20230455790 - Fajar Cahya,Laki-laki,3.24,3.40,3.26,3.75,93,93,90,0,Ya,Tidak
20230454296 - Iqbal Anggraini,Laki-laki,3.42,3.43,3.53,4.00,91,91,87,0,Tidak,Tidak
20220456458 - Bagas Syahputra,Laki-laki,3.83,3.59,3.81,3.64,93,93,86,0,Tidak,Tidak
20230452048 - Aldi Wijaya,Laki-laki,2.03,2.24,2.22,2.37,68,65,60,1,Tidak,Tidak
20230452588 - Gilang Saputra,Laki-laki,2.80,2.53,2.27,2.15,80,71,56,3,Ya,Tidak
20230453623 - Citra Rahman,Perempuan,3.56,3.58,3.75,3.34,95,95,86,0,Tidak,Ya
20230458345 - Fira Setiawan,Perempuan,2.61,2.23,2.23,2.41,79,77,61,1,Tidak,Ya
20230453761 - Intan Pratama,Perempuan,3.30,3.28,3.67,3.87,96,96,93,0,Tidak,Ya
20230456542 - Alif Yusuf,Laki-laki,2.44,2.50,2.40,2.42,72,63,41,3,Tidak,Tidak
20220453614 - Ahmad Sari,Laki-laki,2.86,2.78,2.87,2.95,77,77,82,0,Tidak,Tidak
20220456753 - Nabila Sari,Perempuan,2.89,3.18,3.06,2.78,82,82,82,0,Tidak,Tidak
20220459626 - Tiara Pratama,Perempuan,3.26,3.60,3.72,4.00,91,91,81,0,Tidak,Ya
20220458180 - Ahmad Azizah,Laki-laki,3.25,3.17,3.60,3.43,82,82,82,0,Tidak,Tidak
20230451140 - Riska Setiawan,Perempuan,3.29,3.41,3.45,3.38,90,90,74,0,Tidak,Tidak
20230457955 - Rahma Yusuf,Perempuan,3.07,2.83,2.55,2.73,75,71,53,2,Tidak,Tidak
20220455960 - Fitri Setiawan,Perempuan,3.38,3.09,3.10,3.50,87,87,91,0,Tidak,Tidak
20220453590 - Rafi Maulana,Laki-laki,3.26,3.29,3.89,3.40,93,89,66,2,Tidak,Tidak
20230451982 - Rian Febrianti,Laki-laki,2.89,2.61,2.91,2.83,85,85,76,0,Tidak,Tidak
20230459170 - Wahyu Putra,Laki-laki,3.56,3.34,3.48,3.99,96,96,82,0,Ya,Tidak
20230453902 - Tiara Ramadhan,Perempuan,3.16,3.79,3.27,3.49,89,89,84,0,Tidak,Tidak
20220455005 - Alif Yusuf,Laki-laki,2.76,2.83,3.03,2.82,88,86,65,1,Tidak,Tidak
20220452711 - Putri Salsabila,Perempuan,2.82,3.03,3.12,3.03,91,91,88,0,Tidak,Tidak
20230451769 - Iqbal Maulana,Laki-laki,3.36,3.51,3.65,3.43,94,94,92,0,Ya,Tidak
20230453375 - Salma Sari,Perempuan,3.56,3.75,4.00,4.00,88,88,92,0,Tidak,Tidak
20220456214 - Nabila Santoso,Perempuan,2.71,2.72,3.29,3.12,75,75,82,0,Tidak,Tidak
20230452399 - Andi Syahputra,Laki-laki,2.49,2.91,3.01,2.62,86,86,80,0,Tidak,Tidak
20220456833 - Rani Febrianti,Perempuan,2.94,2.82,2.73,3.17,78,78,68,0,Tidak,Tidak
20230451238 - Aisyah Sari,Perempuan,2.57,2.89,2.77,2.76,75,72,69,1,Ya,Ya
20230451935 - Rahma Sari,Perempuan,3.17,3.48,3.33,3.16,85,85,86,0,Tidak,Ya
20230452955 - Riska Nugroho,Perempuan,2.65,2.07,2.52,2.77,82,76,52,3,Tidak,Ya
20220455699 - Fauzan Yusuf,Laki-laki,2.69,2.61,2.77,3.08,88,86,58,1,Tidak,Tidak
20220457285 - Tiara Ramadhan,Perempuan,3.58,3.51,3.98,3.91,88,88,76,0,Tidak,Ya
20220458275 - Aulia Setiawan,Perempuan,2.51,3.01,3.03,3.08,84,80,62,2,Tidak,Tidak
20220453617 - Hafiz Maharani,Laki-laki,3.29,3.39,3.90,3.80,91,91,88,0,Tidak,Tidak
20230455387 - Bayu Maharani,Laki-laki,3.57,3.26,3.52,3.36,89,87,82,1,Tidak,Tidak
20220454832 - Nisa Rahman,Perempuan,3.07,3.27,3.29,3.48,90,90,80,0,Tidak,Ya
20230453129 - Nurul Yusuf,Perempuan,2.53,3.01,3.15,2.84,79,79,72,0,Tidak,Tidak
20230453763 - Dewi Purnama,Perempuan,3.93,3.46,3.80,3.40,91,91,93,0,Ya,Ya
20230458257 - Lestari Permata,Perempuan,2.77,2.59,2.72,2.84,88,82,54,2,Tidak,Ya
20220454080 - Citra Maulana,Perempuan,2.71,2.68,2.55,2.56,77,77,68,0,Tidak,Ya
20220454842 - Wulan Maulana,Perempuan,3.09,3.12,3.16,3.48,82,82,84,0,Ya,Tidak
20220459318 - Nurul Purnama,Perempuan,3.22,3.10,2.71,2.42,80,77,73,1,Tidak,Tidak
20230454664 - Aulia Ramadhan,Perempuan,3.13,3.35,3.52,3.36,92,89,79,1,Ya,Tidak
20220451580 - Fauzan Permata,Laki-laki,2.77,2.77,2.72,3.01,86,83,71,1,Tidak,Tidak
20230458047 - Putri Firmansyah,Perempuan,3.04,3.41,3.11,3.86,86,83,72,1,Tidak,Ya
20220455134 - Yuni Setiawan,Perempuan,2.25,2.39,2.62,2.35,79,75,66,2,Tidak,Tidak
20230458354 - Ayu Rahman,Perempuan,2.52,2.77,2.76,2.80,78,75,70,1,Tidak,Ya
20220454564 - Ayu Santoso,Perempuan,2.84,3.03,2.96,2.69,86,80,69,2,Tidak,Ya
20230452149 - Dewi Nugroho,Perempuan,2.73,2.90,3.56,3.87,90,90,85,0,Tidak,Ya
20220458645 - Vina Salsabila,Perempuan,2.47,2.46,2.72,2.57,85,85,74,0,Tidak,Tidak
20220456394 - Rian Firmansyah,Laki-laki,3.19,3.04,3.17,3.51,85,82,76,1,Tidak,Tidak
20230459073 - Fitri Maulana,Perempuan,3.33,3.39,3.52,3.46,89,89,82,0,Tidak,Tidak
20230452691 - Alif Kurniawan,Laki-laki,2.95,2.98,2.64,3.40,86,83,71,1,Tidak,Ya
20230459862 - Siti Nugroho,Perempuan,2.33,2.16,2.47,1.94,82,79,52,1,Tidak,Tidak
20230459514 - Rani Nugroho,Perempuan,2.80,2.59,2.97,3.13,74,71,76,1,Tidak,Ya
20220458750 - Iqbal Setiawan,Laki-laki,3.63,3.11,3.37,3.10,84,84,84,0,Tidak,Tidak
20230455676 - Ilham Ramadhan,Laki-laki,3.23,3.36,3.36,3.43,92,92,76,0,Tidak,Tidak
20230452515 - Fauzan Aprilia,Laki-laki,2.90,3.00,2.91,3.10,80,77,68,1,Tidak,Ya
20230451840 - Maya Anggraini,Perempuan,3.27,3.44,3.31,3.13,88,88,87,0,Tidak,Tidak
20230456312 - Kevin Sari,Laki-laki,2.71,2.76,3.08,2.82,74,74,68,0,Tidak,Ya
20230458246 - Putri Utami,Perempuan,2.69,2.80,2.98,3.32,81,81,74,0,Tidak,Tidak
20220451562 - Rangga Sari,Laki-laki,2.30,2.56,2.69,3.09,79,79,70,0,Tidak,Ya
20220452825 - Doni Pratama,Laki-laki,2.62,2.73,2.76,2.79,83,74,53,3,Tidak,Tidak
20230453293 - Melati Fadillah,Perempuan,3.03,3.37,3.90,3.79,88,86,77,1,Tidak,Tidak
20220453980 - Iqbal Akbar,Laki-laki,2.79,2.77,3.10,2.88,83,83,82,0,Tidak,Tidak
20220457463 - Fitri Permata,Perempuan,3.19,2.99,3.20,3.11,90,90,81,0,Tidak,Tidak
20230452349 - Agung Utami,Laki-laki,2.25,2.29,2.37,2.76,78,74,67,2,Ya,Tidak
20230451860 - Aisyah Purnama,Perempuan,3.09,3.03,3.06,3.04,86,84,88,1,Ya,Tidak
20230455979 - Fitri Ramadhan,Perempuan,3.16,3.23,3.05,2.94,86,80,78,2,Tidak,Tidak
20230459972 - Rafi Santoso,Laki-laki,2.54,2.89,2.33,2.60,88,80,64,2,Tidak,Tidak
20220451064 - Rizky Yusuf,Laki-laki,2.61,3.06,3.00,3.09,80,68,57,3,Tidak,Ya
20220451606 - Rian Utami,Laki-laki,3.42,3.56,3.42,3.57,95,95,85,0,Ya,Tidak
20230456219 - Tasya Setiawan,Perempuan,3.37,3.30,3.23,3.31,89,89,90,0,Tidak,Tidak
20230459856 - Nisa Maulana,Perempuan,3.25,2.96,2.83,3.27,84,84,85,0,Tidak,Ya
20230451533 - Aldi Kurniawan,Laki-laki,2.57,2.68,2.88,2.84,77,77,78,0,Tidak,Tidak
20220452667 - Fitri Aprilia,Perempuan,2.83,3.14,2.90,3.49,89,86,64,1,Tidak,Tidak
20230453220 - Wulan Azizah,Perempuan,2.71,2.73,2.98,2.72,84,84,76,0,Tidak,Ya
20230454052 - Hafiz Akbar,Laki-laki,2.95,2.97,3.12,3.00,82,82,80,0,Tidak,Ya
20230458932 - Melati Maharani,Perempuan,2.96,3.31,3.33,3.39,92,92,86,0,Tidak,Tidak
20230456500 - Citra Permata,Perempuan,2.52,2.70,3.05,2.57,82,73,48,3,Tidak,Tidak
20220451197 - Fajar Akbar,Laki-laki,2.77,2.89,2.77,2.92,85,85,72,0,Tidak,Ya
20230454469 - Riska Setiawan,Perempuan,2.98,2.60,3.15,2.80,87,87,77,0,Tidak,Ya
20230455567 - Ahmad Yusuf,Laki-laki,2.92,3.10,3.18,2.82,87,87,76,0,Tidak,Tidak
20230458915 - Yoga Yusuf,Laki-laki,3.01,2.75,2.73,2.21,78,78,78,0,Tidak,Tidak
20220459126 - Anisa Azizah,Perempuan,3.61,3.63,3.87,3.63,96,96,83,0,Tidak,Ya
20230458067 - Fauzan Hidayat,Laki-laki,2.95,2.63,2.55,2.74,74,74,82,0,Tidak,Tidak
20230452838 - Anisa Setiawan,Perempuan,2.50,2.33,2.09,2.22,72,70,55,1,Tidak,Tidak
20230451607 - Kevin Saputra,Laki-laki,3.47,3.66,3.69,4.00,90,90,83,0,Tidak,Tidak
20230453790 - Riska Aprilia,Perempuan,2.62,3.08,2.37,2.45,84,84,64,0,Tidak,Ya
20230452113 - Agung Kurniawan,Laki-laki,3.67,3.55,3.64,3.80,90,90,77,0,Tidak,Tidak
20220451454 - Fauzan Saputra,Laki-laki,2.44,2.52,2.75,3.32,78,78,71,0,Tidak,Ya
